UF;Município;Quantitativo;Porcentagem (%);qt_nome_social;qt_deficientes;Data de carga
AC;ACRELÂNDIA;1809;0,023;0;1;2024-09-16 15:01:10
AC;ASSIS BRASIL;1445;0,0184;0;3;2024-09-16 15:01:10
AC;BRASILÉIA;2628;0,0334;0;10;2024-09-16 15:01:10
AC;BUJARI;2067;0,0263;0;7;2024-09-16 15:01:10
AC;CAPIXABA;1462;0,0186;0;14;2024-09-16 15:01:10
AC;CRUZEIRO DO SUL;5261;0,0669;0;5;2024-09-16 15:01:10
AC;EPITACIOLÂNDIA;1952;0,0248;0;10;2024-09-16 15:01:10
AC;FEIJÓ;2126;0,027;0;13;2024-09-16 15:01:10
AC;JORDÃO;1397;0,0178;0;3;2024-09-16 15:01:10
AC;MANOEL URBANO;1258;0,016;0;6;2024-09-16 15:01:10
AC;MARECHAL THAUMATURGO;1494;0,019;0;2;2024-09-16 15:01:10
AC;MÂNCIO LIMA;2523;0,0321;0;5;2024-09-16 15:01:10
AC;PLÁCIDO DE CASTRO;2474;0,0315;0;14;2024-09-16 15:01:10
AC;PORTO ACRE;2320;0,0295;0;15;2024-09-16 15:01:10
AC;PORTO WALTER;1177;0,015;0;0;2024-09-16 15:01:10
AC;RIO BRANCO;32304;0,411;2;93;2024-09-16 15:01:10
AC;RODRIGUES ALVES;1346;0,0171;0;2;2024-09-16 15:01:10
AC;SANTA ROSA DO PURUS;858;0,0109;0;0;2024-09-16 15:01:10
AC;SENA MADUREIRA;3046;0,0388;0;18;2024-09-16 15:01:10
AC;SENADOR GUIOMARD;3293;0,0419;0;7;2024-09-16 15:01:10
AC;TARAUACÁ;4801;0,0611;0;20;2024-09-16 15:01:10
AC;XAPURI;1565;0,0199;0;5;2024-09-16 15:01:10
AL;ANADIA;1125;0,0061;0;5;2024-09-16 15:01:10
AL;ARAPIRACA;6867;0,037;0;11;2024-09-16 15:01:10
AL;ATALAIA;2184;0,0118;0;4;2024-09-16 15:01:10
AL;BARRA DE SANTO ANTÔNIO;1702;0,0092;0;6;2024-09-16 15:01:10
AL;BARRA DE SÃO MIGUEL;1448;0,0078;0;8;2024-09-16 15:01:10
AL;BATALHA;1309;0,007;0;6;2024-09-16 15:01:10
AL;BELO MONTE;984;0,0053;0;7;2024-09-16 15:01:10
AL;BELÉM;821;0,0044;0;4;2024-09-16 15:01:10
AL;BOCA DA MATA;1790;0,0096;0;3;2024-09-16 15:01:10
AL;BRANQUINHA;887;0,0048;0;6;2024-09-16 15:01:10
AL;CACIMBINHAS;968;0,0052;0;2;2024-09-16 15:01:10
AL;CAJUEIRO;1371;0,0074;0;3;2024-09-16 15:01:10
AL;CAMPESTRE;843;0,0045;0;0;2024-09-16 15:01:10
AL;CAMPO ALEGRE;2699;0,0145;0;16;2024-09-16 15:01:10
AL;CAMPO GRANDE;1007;0,0054;0;25;2024-09-16 15:01:10
AL;CANAPI;1376;0,0074;0;0;2024-09-16 15:01:10
AL;CAPELA;1623;0,0087;0;11;2024-09-16 15:01:10
AL;CARNEIROS;976;0,0053;0;0;2024-09-16 15:01:10
AL;CHÃ PRETA;662;0,0036;0;3;2024-09-16 15:01:10
AL;COITÉ DO NÓIA;946;0,0051;0;1;2024-09-16 15:01:10
AL;COLÔNIA LEOPOLDINA;1431;0,0077;0;14;2024-09-16 15:01:10
AL;COQUEIRO SECO;924;0,005;1;3;2024-09-16 15:01:10
AL;CORURIPE;2290;0,0123;1;7;2024-09-16 15:01:10
AL;CRAÍBAS;1458;0,0078;0;1;2024-09-16 15:01:10
AL;DELMIRO GOUVEIA;4433;0,0239;0;3;2024-09-16 15:01:10
AL;DOIS RIACHOS;1057;0,0057;0;0;2024-09-16 15:01:10
AL;ESTRELA DE ALAGOAS;1071;0,0058;0;1;2024-09-16 15:01:10
AL;FEIRA GRANDE;1301;0,007;0;2;2024-09-16 15:01:10
AL;FELIZ DESERTO;771;0,0041;0;0;2024-09-16 15:01:10
AL;FLEXEIRAS;679;0,0037;0;5;2024-09-16 15:01:10
AL;GIRAU DO PONCIANO;1745;0,0094;0;25;2024-09-16 15:01:10
AL;IBATEGUARA;1131;0,0061;0;3;2024-09-16 15:01:10
AL;IGACI;1494;0,008;0;22;2024-09-16 15:01:10
AL;IGREJA NOVA;2131;0,0115;0;1;2024-09-16 15:01:10
AL;INHAPI;1331;0,0072;0;2;2024-09-16 15:01:10
AL;JACARÉ DOS HOMENS;856;0,0046;0;3;2024-09-16 15:01:10
AL;JACUÍPE;978;0,0053;0;1;2024-09-16 15:01:10
AL;JAPARATINGA;1049;0,0056;0;0;2024-09-16 15:01:10
AL;JARAMATAIA;710;0,0038;0;0;2024-09-16 15:01:10
AL;JEQUIÁ DA PRAIA;1214;0,0065;0;6;2024-09-16 15:01:10
AL;JOAQUIM GOMES;1317;0,0071;0;6;2024-09-16 15:01:10
AL;JUNDIÁ;796;0,0043;0;3;2024-09-16 15:01:10
AL;JUNQUEIRO;1153;0,0062;1;3;2024-09-16 15:01:10
AL;LAGOA DA CANOA;1217;0,0066;0;0;2024-09-16 15:01:10
AL;LIMOEIRO DE ANADIA;1423;0,0077;0;2;2024-09-16 15:01:10
AL;MACEIÓ;29582;0,1592;6;331;2024-09-16 15:01:10
AL;MAJOR ISIDORO;1572;0,0085;0;2;2024-09-16 15:01:10
AL;MAR VERMELHO;637;0,0034;0;1;2024-09-16 15:01:10
AL;MARAGOGI;1706;0,0092;0;2;2024-09-16 15:01:10
AL;MARAVILHA;1259;0,0068;0;0;2024-09-16 15:01:10
AL;MARECHAL DEODORO;2877;0,0155;0;12;2024-09-16 15:01:10
AL;MARIBONDO;1452;0,0078;0;9;2024-09-16 15:01:10
AL;MATA GRANDE;1414;0,0076;0;1;2024-09-16 15:01:10
AL;MATRIZ DE CAMARAGIBE;1767;0,0095;0;8;2024-09-16 15:01:10
AL;MESSIAS;1374;0,0074;0;3;2024-09-16 15:01:10
AL;MINADOR DO NEGRÃO;688;0,0037;0;2;2024-09-16 15:01:10
AL;MONTEIRÓPOLIS;975;0,0052;0;4;2024-09-16 15:01:10
AL;MURICI;1453;0,0078;0;0;2024-09-16 15:01:10
AL;NOVO LINO;880;0,0047;0;5;2024-09-16 15:01:10
AL;OLHO D'ÁGUA DAS FLORES;1907;0,0103;0;6;2024-09-16 15:01:10
AL;OLHO D'ÁGUA DO CASADO;773;0,0042;0;0;2024-09-16 15:01:10
AL;OLHO D'ÁGUA GRANDE;712;0,0038;0;1;2024-09-16 15:01:10
AL;OLIVENÇA;1399;0,0075;0;1;2024-09-16 15:01:10
AL;OURO BRANCO;1255;0,0068;0;1;2024-09-16 15:01:10
AL;PALESTINA;668;0,0036;0;2;2024-09-16 15:01:10
AL;PALMEIRA DOS ÍNDIOS;4474;0,0241;0;7;2024-09-16 15:01:10
AL;PARICONHA;1110;0,006;0;1;2024-09-16 15:01:10
AL;PARIPUEIRA;1325;0,0071;0;4;2024-09-16 15:01:10
AL;PASSO DE CAMARAGIBE;1689;0,0091;0;33;2024-09-16 15:01:10
AL;PAULO JACINTO;1015;0,0055;0;11;2024-09-16 15:01:10
AL;PENEDO;3755;0,0202;0;8;2024-09-16 15:01:10
AL;PIAÇABUÇU;1424;0,0077;0;0;2024-09-16 15:01:10
AL;PILAR;2365;0,0127;0;17;2024-09-16 15:01:10
AL;PINDOBA;519;0,0028;0;1;2024-09-16 15:01:10
AL;PIRANHAS;1588;0,0085;0;1;2024-09-16 15:01:10
AL;PORTO CALVO;2257;0,0121;0;5;2024-09-16 15:01:10
AL;PORTO DE PEDRAS;1064;0,0057;0;1;2024-09-16 15:01:10
AL;PORTO REAL DO COLÉGIO;1603;0,0086;0;0;2024-09-16 15:01:10
AL;POÇO DAS TRINCHEIRAS;1080;0,0058;0;4;2024-09-16 15:01:10
AL;PÃO DE AÇÚCAR;1998;0,0108;0;4;2024-09-16 15:01:10
AL;QUEBRANGULO;1027;0,0055;0;0;2024-09-16 15:01:10
AL;RIO LARGO;4216;0,0227;0;16;2024-09-16 15:01:10
AL;ROTEIRO;807;0,0043;0;3;2024-09-16 15:01:10
AL;SANTA LUZIA DO NORTE;1329;0,0072;1;9;2024-09-16 15:01:10
AL;SANTANA DO IPANEMA;2383;0,0128;0;10;2024-09-16 15:01:10
AL;SANTANA DO MUNDAÚ;1183;0,0064;0;1;2024-09-16 15:01:10
AL;SATUBA;1271;0,0068;0;6;2024-09-16 15:01:10
AL;SENADOR RUI PALMEIRA;903;0,0049;0;2;2024-09-16 15:01:10
AL;SÃO BRÁS;1084;0,0058;0;0;2024-09-16 15:01:10
AL;SÃO JOSÉ DA LAJE;1717;0,0092;0;0;2024-09-16 15:01:10
AL;SÃO JOSÉ DA TAPERA;1564;0,0084;0;0;2024-09-16 15:01:10
AL;SÃO LUÍS DO QUITUNDE;2343;0,0126;0;2;2024-09-16 15:01:10
AL;SÃO MIGUEL DOS CAMPOS;4063;0,0219;0;12;2024-09-16 15:01:10
AL;SÃO MIGUEL DOS MILAGRES;973;0,0052;0;6;2024-09-16 15:01:10
AL;SÃO SEBASTIÃO;2168;0,0117;0;7;2024-09-16 15:01:10
AL;TANQUE D'ARCA;905;0,0049;0;3;2024-09-16 15:01:10
AL;TAQUARANA;1307;0,007;0;4;2024-09-16 15:01:10
AL;TEOTÔNIO VILELA;1495;0,008;0;3;2024-09-16 15:01:10
AL;TRAIPU;2063;0,0111;0;0;2024-09-16 15:01:10
AL;UNIÃO DOS PALMARES;2689;0,0145;0;7;2024-09-16 15:01:10
AL;VIÇOSA;1585;0,0085;0;0;2024-09-16 15:01:10
AL;ÁGUA BRANCA;1546;0,0083;0;2;2024-09-16 15:01:10
AM;ALVARÃES;1597;0,0061;0;2;2024-09-16 15:01:10
AM;AMATURÁ;1953;0,0074;0;2;2024-09-16 15:01:10
AM;ANAMÃ;1551;0,0059;0;0;2024-09-16 15:01:10
AM;ANORI;1868;0,0071;0;7;2024-09-16 15:01:10
AM;APUÍ;2060;0,0078;0;6;2024-09-16 15:01:10
AM;ATALAIA DO NORTE;1460;0,0055;0;4;2024-09-16 15:01:10
AM;AUTAZES;3749;0,0142;0;9;2024-09-16 15:01:10
AM;BARCELOS;1711;0,0065;0;1;2024-09-16 15:01:10
AM;BARREIRINHA;3174;0,012;0;6;2024-09-16 15:01:10
